No.0:國家圖書館古籍服務實務研究, ['古籍', '國家圖書館', '國內', '部門', '服務', '實務', '圖書館', '讀者服務', '狀況', '內心', '勾勒出', '古籍管理', '古籍資源', '挖掘', '深入性', '渴望', '珍稀', '眼前', '推廣', '整理']
No.1:服務學習之反思-圖書資訊學系學生與被服務單位觀點分析, ['服務學習', '服務', '單位', '反思', '學生', '資料', '經驗', '觀點', '重視', '圖書資訊學', '學習', '作為', '哲理', '持有', '整理', '概念', '正視', '經驗式學習', '論及', '理論']
No.2:歷史學系大學生撰寫課程論文之資訊行為研究──以輔仁大學為例, ['歷史學系', '論文', '大學生', '課程', '撰寫', '學生', '資料庫', '題目', '方法', '管道', '資料', '來源', '寫作', '資訊行為', '方面', '史學研究', '解決', '確認', '電子', '史料']
No.3:電子書使用需求與滿意度研究-以Ebook Taipei臺北好讀電子書平臺(原HyRead電子書平臺)為例, ['電子書平臺', '平臺', 'ebook', 'taipei', '好讀', '臺北', '電子書', '使用者', '閱讀', '借閱', '瀏覽', '次數', '使用', '隨意', '滿意度', '民眾', '館藏量', '時間', '使用者滿意度', '購買']
No.4:基督教神職人員解經講道資訊需求 與資訊尋求, ['解經', '講道', '神職人員', '資訊使用', '基督教', '聖經', '軟體', '期待', '工作', '資訊需求', '教會', '時機', '社群', '網路', '擔任', '理解', '載具', '資訊尋求', '反應', '題項']
No.5:家長對於公共圖書館兒童英語資源與服務之使用, ['英語', '兒童', '家長', '兒童英語學習', '公共圖書館', '父母', '資源', '英語學習', '服務', '推廣活動', '圖書館員', '經驗', '趨勢', '了多', '兒童英語學習資源與服務', '推廣活', '文教', '採訪', '歸納為', '說故事']
No.6:大學圖書館英語學習直播服務–以輔仁大學為例, ['直播', '英語', '教學', '學習', '英語學習', '學生', '影片', '自學', '自主', '即時', '交流', '反應', '串聯', '傳訊', '引受到', '李克特量', '節目', '網路直播', '自學動機', '規畫']
No.7:中國公共圖書館兒童閱讀推廣研究——以金陵圖書館為例, ['兒童', '金陵', '閲讀', '兒童閱讀', '推廣', '中國', '公共圖書館', '起步', '圖書館', '活動', '重要性', '閱讀', '内容', '加强', '南京市', '場次', '江蘇省', '采訪', '合作', '歸納成']
No.8:圖書館行銷之微電影分析, ['電影', '行銷', '影片', '拍攝', '圖書館行銷', '敘述', '內容', '初探性', '技巧', '傳播', '內涵', '台灣', '人稱為', '優酷', '劇情', '單一性', '圖書館微電影', '巧思', '愛情片', '新媒體時代']
No.9:民國時期上海地區報紙出版發行研究, ['上海', '民國時期', '報刊', '報業', '清朝', '報紙業', '報紙', '英國', '道光', '成立', '中國', '近代', '發行', '地區', '探索', '出現', '許多', '事業史', '停刊', '傳教士']
No.10:運動網站使用性探討- 以中華民國羽球協會網站為例, ['羽球', '運動', '網站', '使用性', '中華民國羽球協會', '使用性評估', '羽協', '中華', '設計', '模型', '增加', '方面', '評估', '效率', '網頁', '功能', '機制', '改善', '使用者', 'faq']
No.11:實體教具與虛擬教具對幼童學習影響之研究, ['幼兒', '虛擬教具', '教具', '實體', '家長', '學習', '教學', '幫助', '功能', '教導', '熟悉', '科技', '使用', '完善', '認知', '許多', '認為', 'app應用程式', '具體化', '可取用']
No.12:大學生分組報告協作資訊行為研究—以輔仁大學通識課程為例, ['分組報告', '協作資訊行為', '組員', '協作', '團體', '報告', '大學生', '學生', '通識課', '分組', '資訊行為', '討論', '想法', '課堂', '成員', '資訊', '課程', '工作', '過程', '搜尋']
No.13:臺灣佛教宗教網站使用性評估：以華藏淨宗弘化網為例, ['宗教網站', '使用性評估', '佛教', '弘化網', '淨宗', '華藏', '使用性', '模型', '介面', '互動', '網路宗教', '聊天室', '增加', '信徒', '版型', '臺灣佛教', '合計', '彙整出', '首頁', '討論區']
No.14:公共圖書館服務行銷策略及現況之研究, ['行銷', '公共圖書館', '服務行銷', '作法', '精進', '實務', '行銷策略', '通路', '策略', '館方', '圖書館行銷', '效益', '7p', '民眾', '實體', '窘境', '服務', '推廣', '運用', '活動']
No.15:臺灣地區圖書館館員徵才廣告內容分析之研究, ['能力', '徵才廣告', '職能', '職務', '圖書館館員', '工作', '思考', '人格', '需求量', '項目', '一般職能', '專業職能', '敬業', '職缺', '雇主', '具備', '任職', '求職', '系所', '其他']
No.16:輔仁大學日本語文學系學生圖書館資源使用之研究, ['圖書館', '學生', '資源', '情況', '滿意度', '修業', '科目', '使用', '日本', '學系', '語文', '方面', '提供', '輔仁大學', '區間', '圖書館使用者調查', '學期', '對應表', '幾乎所有', '日語學習']
No.17:翁方綱藏書研究, ['翁方綱', '藏書', '社群', '清代', '書法', '金石', '事業', '學者', '私人藏書', '後世', '著名', '文化', '探索', '軟體', '成果', 'at', 'california', 'irvine', 'ucinet', '一生']
No.18:大學生旅遊資訊行為分析, ['sd', '旅遊', '旅遊資訊', '學生', '資訊', '分享', '反應', '網站', '大學生', '行為', '住宿', '觀光局', '社群', '程度', '頻繁', '機構', '交通', '撰寫', '使用', '問卷']
No.19:大學學生餐飲行動資訊需求與尋求行為分析, ['餐飲', '餐廳', 'sd', 'mean', '行動', '資訊', '資訊需求', '社群', '學生', '行為', '口碑', '聚餐', '網路', '可靠', '搜尋', 'app', '分享', '尋求', '資訊尋求行為', '評價']
No.20:社會企業創業者之資訊行為與知識交流研究, ['社會企業創業者', '社會企業', '知識交流', '資訊行為', '知識', '人格', '價值觀', '解決', '脈絡', '社會', '類型', '資源', '學習', '政府', '特質', '問題', '動機', '充滿', '創業', '合作型']
No.21:明代四川私人藏書研究, ['四川', '藏書', '明代', '私人藏書', '事業', '藏書家', '樣貌', '藩府', '當地', '載體', '生活', '呈現出', '文化', '社會', '歷史', '理論', '方面', '入明', '公家', '公諸於世']
No.22:醫學系問題導向學習學生使用圖書館之研究, ['pbl', 'pbl學生', '醫學生', '醫學系', '圖書館', '問題導向學習', '臨床', '能力', '學生', '資訊', '實施', '使用', 'tutor', '求學', '肯定', '資源', '教育', '看法', '生涯', '發生']
No.23:智慧圖書館使用需求與使用行為分析之研究- 以東區地下街智慧圖書館為例, ['智慧圖書館', '使用行為', '地下街', '東區', '讀者', '看法', '使用需求', '全自動借書站', '使用動機', '服務', '期待', '環境', '設備', '對象', '使用', '以下', '借還', '全自助', '市圖', '快還']
